Series ID,Year,Period,Label,Value,1-Month % Change
CUSR0000SA0,1983,M01,1983 Jan,97.90,0.2
CUSR0000SA0,1983,M02,1983 Feb,98.00,0.1
CUSR0000SA0,1983,M03,1983 Mar,98.10,0.1
CUSR0000SA0,1983,M04,1983 Apr,98.80,0.7
CUSR0000SA0,1983,M05,1983 May,99.20,0.4
CUSR0000SA0,1983,M06,1983 Jun,99.40,0.2
CUSR0000SA0,1983,M07,1983 Jul,99.80,0.4
CUSR0000SA0,1983,M08,1983 Aug,100.10,0.3
CUSR0000SA0,1983,M09,1983 Sep,100.40,0.3
CUSR0000SA0,1983,M10,1983 Oct,100.80,0.4
CUSR0000SA0,1983,M11,1983 Nov,101.10,0.3
CUSR0000SA0,1983,M12,1983 Dec,101.40,0.3
CUSR0000SA0,1984,M01,1984 Jan,102.10,0.7
CUSR0000SA0,1984,M02,1984 Feb,102.60,0.5
CUSR0000SA0,1984,M03,1984 Mar,102.90,0.3
CUSR0000SA0,1984,M04,1984 Apr,103.30,0.4
CUSR0000SA0,1984,M05,1984 May,103.50,0.2
CUSR0000SA0,1984,M06,1984 Jun,103.70,0.2
CUSR0000SA0,1984,M07,1984 Jul,104.10,0.4
CUSR0000SA0,1984,M08,1984 Aug,104.40,0.3
CUSR0000SA0,1984,M09,1984 Sep,104.70,0.3
CUSR0000SA0,1984,M10,1984 Oct,105.10,0.4
CUSR0000SA0,1984,M11,1984 Nov,105.30,0.2
CUSR0000SA0,1984,M12,1984 Dec,105.50,0.2
CUSR0000SA0,1985,M01,1985 Jan,105.70,0.2
CUSR0000SA0,1985,M02,1985 Feb,106.30,0.6
CUSR0000SA0,1985,M03,1985 Mar,106.80,0.5
CUSR0000SA0,1985,M04,1985 Apr,107.00,0.2
CUSR0000SA0,1985,M05,1985 May,107.20,0.2
CUSR0000SA0,1985,M06,1985 Jun,107.50,0.3
CUSR0000SA0,1985,M07,1985 Jul,107.70,0.2
CUSR0000SA0,1985,M08,1985 Aug,107.90,0.2
CUSR0000SA0,1985,M09,1985 Sep,108.10,0.2
CUSR0000SA0,1985,M10,1985 Oct,108.50,0.4
CUSR0000SA0,1985,M11,1985 Nov,109.00,0.5
CUSR0000SA0,1985,M12,1985 Dec,109.50,0.5
CUSR0000SA0,1986,M01,1986 Jan,109.90,0.4
CUSR0000SA0,1986,M02,1986 Feb,109.70,-0.2
CUSR0000SA0,1986,M03,1986 Mar,109.10,-0.5
CUSR0000SA0,1986,M04,1986 Apr,108.70,-0.4
CUSR0000SA0,1986,M05,1986 May,109.00,0.3
CUSR0000SA0,1986,M06,1986 Jun,109.40,0.4
CUSR0000SA0,1986,M07,1986 Jul,109.50,0.1
CUSR0000SA0,1986,M08,1986 Aug,109.60,0.1
CUSR0000SA0,1986,M09,1986 Sep,110.00,0.4
CUSR0000SA0,1986,M10,1986 Oct,110.20,0.2
CUSR0000SA0,1986,M11,1986 Nov,110.40,0.2
CUSR0000SA0,1986,M12,1986 Dec,110.80,0.4
CUSR0000SA0,1987,M01,1987 Jan,111.40,0.5
CUSR0000SA0,1987,M02,1987 Feb,111.80,0.4
CUSR0000SA0,1987,M03,1987 Mar,112.20,0.4
CUSR0000SA0,1987,M04,1987 Apr,112.70,0.4
CUSR0000SA0,1987,M05,1987 May,113.00,0.3
CUSR0000SA0,1987,M06,1987 Jun,113.50,0.4
CUSR0000SA0,1987,M07,1987 Jul,113.80,0.3
CUSR0000SA0,1987,M08,1987 Aug,114.30,0.4
CUSR0000SA0,1987,M09,1987 Sep,114.70,0.3
CUSR0000SA0,1987,M10,1987 Oct,115.00,0.3
CUSR0000SA0,1987,M11,1987 Nov,115.40,0.3
CUSR0000SA0,1987,M12,1987 Dec,115.60,0.2
CUSR0000SA0,1988,M01,1988 Jan,116.00,0.3
CUSR0000SA0,1988,M02,1988 Feb,116.20,0.2
CUSR0000SA0,1988,M03,1988 Mar,116.50,0.3
CUSR0000SA0,1988,M04,1988 Apr,117.20,0.6
CUSR0000SA0,1988,M05,1988 May,117.50,0.3
CUSR0000SA0,1988,M06,1988 Jun,118.00,0.4
CUSR0000SA0,1988,M07,1988 Jul,118.50,0.4
CUSR0000SA0,1988,M08,1988 Aug,119.00,0.4
CUSR0000SA0,1988,M09,1988 Sep,119.50,0.4
CUSR0000SA0,1988,M10,1988 Oct,119.90,0.3
CUSR0000SA0,1988,M11,1988 Nov,120.30,0.3
CUSR0000SA0,1988,M12,1988 Dec,120.70,0.3
CUSR0000SA0,1989,M01,1989 Jan,121.20,0.4
CUSR0000SA0,1989,M02,1989 Feb,121.60,0.3
CUSR0000SA0,1989,M03,1989 Mar,122.20,0.5
CUSR0000SA0,1989,M04,1989 Apr,123.10,0.7
CUSR0000SA0,1989,M05,1989 May,123.70,0.5
CUSR0000SA0,1989,M06,1989 Jun,124.10,0.3
CUSR0000SA0,1989,M07,1989 Jul,124.50,0.3
CUSR0000SA0,1989,M08,1989 Aug,124.50,0.0
CUSR0000SA0,1989,M09,1989 Sep,124.80,0.2
CUSR0000SA0,1989,M10,1989 Oct,125.40,0.5
CUSR0000SA0,1989,M11,1989 Nov,125.90,0.4
CUSR0000SA0,1989,M12,1989 Dec,126.30,0.3
CUSR0000SA0,1990,M01,1990 Jan,127.50,1.0
CUSR0000SA0,1990,M02,1990 Feb,128.00,0.4
CUSR0000SA0,1990,M03,1990 Mar,128.60,0.5
CUSR0000SA0,1990,M04,1990 Apr,128.90,0.2
CUSR0000SA0,1990,M05,1990 May,129.10,0.2
CUSR0000SA0,1990,M06,1990 Jun,129.90,0.6
CUSR0000SA0,1990,M07,1990 Jul,130.50,0.5
CUSR0000SA0,1990,M08,1990 Aug,131.60,0.8
CUSR0000SA0,1990,M09,1990 Sep,132.50,0.7
CUSR0000SA0,1990,M10,1990 Oct,133.40,0.7
CUSR0000SA0,1990,M11,1990 Nov,133.70,0.2
CUSR0000SA0,1990,M12,1990 Dec,134.20,0.4
CUSR0000SA0,1991,M01,1991 Jan,134.70,0.4
CUSR0000SA0,1991,M02,1991 Feb,134.80,0.1
CUSR0000SA0,1991,M03,1991 Mar,134.80,0.0
