Date,Close/Last,Volume,Open,High,Low
09/15/2023,8087.28,--,8244.23,8252.24,8054.02
09/14/2023,8304.00,--,8304.95,8328.37,8216.21
09/13/2023,8243.21,--,8221.86,8303.30,8211.67
09/12/2023,8221.60,--,8256.18,8348.69,8221.30
09/11/2023,8339.63,--,8339.70,8351.70,8244.38
09/08/2023,8264.27,--,8269.14,8319.58,8240.27
09/07/2023,8280.90,--,8229.89,8300.63,8181.99
09/06/2023,8376.86,--,8368.41,8444.32,8307.17
09/05/2023,8402.31,--,8334.08,8438.37,8313.27
09/01/2023,8373.53,--,8378.38,8405.90,8317.24
08/31/2023,8323.50,--,8251.08,8353.82,8250.95
08/30/2023,8231.31,--,8157.90,8243.09,8125.17
08/29/2023,8163.89,--,7946.26,8175.43,7940.37
08/28/2023,7951.00,--,7952.46,7984.08,7901.41
08/25/2023,7896.52,--,7803.26,7924.49,7729.81
08/24/2023,7796.57,--,8135.17,8135.50,7792.29
08/23/2023,8020.14,--,7868.09,8046.33,7866.99
08/22/2023,7874.05,--,7989.85,7990.00,7854.54
08/21/2023,7915.82,--,7805.92,7930.86,7804.17
08/18/2023,7732.52,--,7610.98,7759.06,7601.80
08/17/2023,7705.63,--,7842.52,7842.72,7695.54
08/16/2023,7795.55,--,7893.18,7922.70,7793.81
08/15/2023,7905.43,--,7992.95,8007.42,7889.69
08/14/2023,8034.49,--,7839.51,8034.96,7834.40
08/11/2023,7886.57,--,7903.17,7962.95,7866.76
08/10/2023,8004.93,--,8070.81,8165.58,7953.93
08/09/2023,7974.86,--,8077.41,8084.76,7943.79
08/08/2023,8075.65,--,8042.26,8087.61,7970.92
08/07/2023,8226.76,--,8222.08,8239.71,8147.89
08/04/2023,8171.31,--,8248.56,8294.22,8135.68
08/03/2023,8263.06,--,8187.22,8299.00,8173.23
08/02/2023,8256.74,--,8459.23,8459.23,8204.65
08/01/2023,8597.36,--,8523.77,8615.05,8496.20
07/31/2023,8587.41,--,8569.58,8616.69,8542.69
07/28/2023,8522.97,--,8480.55,8535.54,8443.00
07/27/2023,8351.02,--,8467.77,8525.18,8311.61
07/26/2023,8271.05,--,8242.97,8321.89,8204.87
07/25/2023,8323.08,--,8250.75,8361.55,8250.75
07/24/2023,8200.72,--,8232.77,8252.83,8150.37
07/21/2023,8212.57,--,8236.79,8289.49,8188.95
07/20/2023,8155.17,--,8334.59,8366.42,8134.27
07/19/2023,8441.78,--,8516.14,8537.66,8413.88
07/18/2023,8474.95,--,8417.52,8500.02,8359.62
07/17/2023,8442.15,--,8283.09,8474.65,8265.51
07/14/2023,8286.71,--,8331.49,8399.22,8262.21
07/13/2023,8326.95,--,8223.01,8340.91,8215.77
07/12/2023,8142.29,--,8192.14,8193.89,8081.79
07/11/2023,8075.32,--,8084.02,8095.71,7981.49
07/10/2023,8054.85,--,7892.93,8059.78,7892.53
07/07/2023,7884.12,--,7885.72,7983.69,7872.92
07/06/2023,7882.23,--,7872.46,7888.28,7795.28
07/05/2023,7995.85,--,8016.77,8055.54,7990.01
07/03/2023,8073.74,--,8056.14,8079.99,8009.88
06/30/2023,8048.89,--,8013.28,8078.74,8006.40
06/29/2023,7937.73,--,7966.15,7966.25,7887.10
06/28/2023,7954.44,--,7901.21,8014.00,7888.41
06/27/2023,7970.22,--,7785.86,7987.78,7773.95
06/26/2023,7746.33,--,7778.50,7887.27,7744.85
06/23/2023,7763.61,--,7754.57,7805.57,7718.33
06/22/2023,7876.44,--,7758.92,7885.19,7754.63
06/21/2023,7818.08,--,7978.09,7990.50,7814.22
06/20/2023,8007.09,--,8025.31,8080.68,7939.94
06/16/2023,8081.74,--,8227.48,8232.25,8077.59
06/15/2023,8164.63,--,8044.07,8205.80,8034.24
06/14/2023,8101.00,--,8019.16,8102.11,7962.69
06/13/2023,8048.76,--,8067.72,8078.12,7960.42
06/12/2023,7955.17,--,7806.32,7957.21,7801.44
06/09/2023,7742.95,--,7791.67,7852.35,7701.78
06/08/2023,7722.80,--,7634.88,7743.23,7629.42
06/07/2023,7633.25,--,7827.24,7846.02,7616.02
06/06/2023,7791.79,--,7713.49,7836.96,7697.15
06/05/2023,7736.64,--,7735.59,7780.92,7661.57
06/02/2023,7758.52,--,7815.49,7835.96,7712.12
06/01/2023,7727.96,--,7604.73,7792.73,7577.05
05/31/2023,7643.05,--,7628.85,7702.11,7601.05
05/30/2023,7716.57,--,7846.21,7868.92,7678.07
05/26/2023,7700.76,--,7463.29,7725.95,7459.71
05/25/2023,7334.66,--,7266.81,7359.96,7196.03
05/24/2023,7082.28,--,7058.96,7115.80,7035.88
05/23/2023,7152.01,--,7211.39,7249.87,7149.80
05/22/2023,7267.82,--,7187.22,7290.49,7178.79
05/19/2023,7206.24,--,7225.92,7234.63,7174.28
05/18/2023,7225.46,--,7062.14,7233.73,7060.44
05/17/2023,7035.50,--,6937.41,7049.90,6901.03
05/16/2023,6901.34,--,6893.19,6948.26,6893.07
05/15/2023,6928.55,--,6781.03,6928.75,6775.22
05/12/2023,6777.36,--,6791.75,6801.57,6720.53
05/11/2023,6784.06,--,6814.29,6816.36,6739.03
05/10/2023,6805.91,--,6786.45,6829.51,6743.12
05/09/2023,6702.69,--,6709.66,6735.04,6690.71
05/08/2023,6762.17,--,6750.11,6768.99,6694.10
05/05/2023,6712.40,--,6614.47,6732.25,6610.63
05/04/2023,6607.96,--,6589.32,6664.25,6579.29
05/03/2023,6591.67,--,6634.08,6698.28,6587.92
05/02/2023,6641.61,--,6725.04,6731.90,6606.91
05/01/2023,6722.09,--,6699.59,6739.45,6685.39
04/28/2023,6714.22,--,6660.72,6715.01,6623.16
04/27/2023,6666.49,--,6621.46,6679.21,6552.95
04/26/2023,6554.42,--,6585.43,6634.36,6531.95
04/25/2023,6494.21,--,6659.34,6661.98,6493.59
04/24/2023,6734.73,--,6767.30,6794.33,6688.47
04/21/2023,6773.30,--,6780.05,6798.71,6719.28
04/20/2023,6800.49,--,6767.70,6879.80,6767.70
04/19/2023,6836.03,--,6808.14,6856.83,6795.09
04/18/2023,6889.75,--,6958.03,6972.02,6855.59
04/17/2023,6886.91,--,6842.94,6889.03,6821.64
04/14/2023,6887.87,--,6873.51,6948.40,6815.13
04/13/2023,6912.85,--,6835.76,6932.90,6833.55
04/12/2023,6806.47,--,6947.42,6965.77,6799.31
04/11/2023,6886.25,--,6913.42,6931.93,6870.83
04/10/2023,6913.74,--,6786.99,6916.88,6772.30
04/06/2023,6851.38,--,6777.85,6870.45,6732.37
04/05/2023,6843.21,--,6937.27,6941.40,6794.19
04/04/2023,6992.29,--,7083.99,7089.88,6963.57
04/03/2023,7064.56,--,7065.48,7086.91,7002.30
03/31/2023,7129.20,--,6988.64,7133.35,6985.57
03/30/2023,7006.71,--,6983.91,7040.81,6965.25
03/29/2023,6907.48,--,6834.05,6929.76,6818.77
03/28/2023,6737.38,--,6767.04,6767.07,6673.80
03/27/2023,6779.43,--,6847.79,6880.60,6753.17
03/24/2023,6831.23,--,6862.69,6870.56,6756.96
03/23/2023,6900.72,--,6847.68,6985.83,6812.35
03/22/2023,6738.61,--,6855.66,6972.87,6736.08
03/21/2023,6861.57,--,6831.56,6884.03,6766.76
03/20/2023,6783.62,--,6754.96,6795.63,6696.43
03/17/2023,6785.48,--,6823.75,6883.45,6746.26
03/16/2023,6831.42,--,6590.53,6841.63,6589.47
03/15/2023,6609.42,--,6557.57,6623.56,6499.67
03/14/2023,6632.84,--,6569.39,6644.05,6540.68
03/13/2023,6466.73,--,6361.62,6544.48,6320.80
03/10/2023,6432.29,--,6568.75,6599.02,6404.80
03/09/2023,6562.77,--,6699.20,6790.36,6553.35
03/08/2023,6713.40,--,6654.95,6723.93,6626.81
03/07/2023,6623.64,--,6709.74,6749.64,6603.88
03/06/2023,6707.66,--,6763.85,6830.68,6700.83
03/03/2023,6736.69,--,6629.78,6745.26,6613.46
03/02/2023,6646.84,--,6490.05,6669.20,6479.57
03/01/2023,6552.70,--,6606.34,6651.49,6542.90
02/28/2023,6594.16,--,6575.12,6658.63,6567.85
02/27/2023,6572.33,--,6622.06,6649.51,6564.05
02/24/2023,6529.77,--,6522.88,6572.14,6491.51
02/23/2023,6669.86,--,6695.86,6697.30,6557.18
02/22/2023,6533.84,--,6539.42,6590.33,6493.58
02/21/2023,6494.79,--,6568.89,6627.25,6489.85
02/17/2023,6682.69,--,6721.29,6740.07,6620.64
02/16/2023,6783.92,--,6818.54,6898.35,6777.75
02/15/2023,6981.96,--,6882.44,6983.42,6835.69
02/14/2023,6909.07,--,6735.81,6928.44,6714.50
02/13/2023,6784.28,--,6716.24,6799.37,6668.39
02/10/2023,6674.58,--,6688.56,6711.15,6608.11
02/09/2023,6763.83,--,6907.89,6935.40,6730.38
02/08/2023,6792.73,--,6915.85,6952.02,6783.83
02/07/2023,6912.81,--,6720.19,6941.84,6695.22
02/06/2023,6710.16,--,6714.59,6805.94,6687.50
02/03/2023,6823.53,--,6792.50,6962.75,6792.22
02/02/2023,6999.11,--,6933.75,7060.90,6887.60
02/01/2023,6759.07,--,6507.09,6810.73,6501.33
01/31/2023,6484.28,--,6368.18,6485.55,6359.77
01/30/2023,6363.26,--,6434.20,6466.63,6362.61
01/27/2023,6530.60,--,6430.25,6576.98,6428.63
01/26/2023,6525.36,--,6461.93,6528.86,6381.74
01/25/2023,6356.21,--,6234.00,6374.93,6176.34
01/24/2023,6372.96,--,6363.09,6428.20,6343.84
01/23/2023,6418.57,--,6228.76,6429.62,6216.53
01/20/2023,6206.22,--,6045.74,6211.73,6030.84
01/19/2023,6000.51,--,6047.28,6081.04,5982.27
01/18/2023,6091.30,--,6239.84,6284.73,6088.06
01/17/2023,6176.48,--,6125.88,6194.50,6110.27
01/13/2023,6150.90,--,6044.35,6155.74,6044.35
01/12/2023,6111.51,--,6077.69,6137.27,5959.36
01/11/2023,6066.50,--,5985.85,6068.03,5945.14
01/10/2023,5970.00,--,5899.82,5973.47,5867.28
01/09/2023,5930.80,--,5917.87,6040.90,5898.06
01/06/2023,5828.48,--,5705.37,5855.14,5615.79
01/05/2023,5647.49,--,5714.31,5725.19,5642.31
01/04/2023,5801.00,--,5811.74,5844.70,5728.25
01/03/2023,5713.33,--,5855.06,5880.48,5666.97
12/30/2022,5751.76,--,5674.85,5754.01,5652.53
12/29/2022,5765.56,--,5652.59,5779.86,5633.15
12/28/2022,5582.57,--,5638.63,5691.86,5567.60
12/27/2022,5662.57,--,5698.10,5706.04,5628.58
12/23/2022,5735.32,--,5695.92,5739.63,5645.42
12/22/2022,5737.92,--,5838.18,5843.38,5637.81
12/21/2022,5949.47,--,5868.57,5977.35,5839.64
12/20/2022,5862.82,--,5801.47,5899.83,5789.95
12/19/2022,5865.13,--,5954.32,5960.94,5825.76
12/16/2022,5970.97,--,5987.18,6034.21,5926.40
12/15/2022,6006.03,--,6142.10,6161.84,5985.36
12/14/2022,6249.53,--,6312.38,6386.02,6180.89
12/13/2022,6309.91,--,6494.25,6509.49,6234.07
12/12/2022,6189.58,--,6045.18,6190.55,6040.73
12/09/2022,6057.02,--,6072.28,6141.29,6034.97
12/08/2022,6084.19,--,5972.51,6107.17,5941.56
12/07/2022,5942.38,--,5935.58,5988.04,5898.45
12/06/2022,5964.69,--,6089.12,6093.62,5923.12
12/05/2022,6094.49,--,6196.65,6213.59,6053.58
12/02/2022,6233.76,--,6152.09,6251.04,6133.98
12/01/2022,6327.92,--,6297.09,6376.66,6235.38
11/30/2022,6252.48,--,5931.01,6253.42,5912.32
11/29/2022,5940.89,--,5994.26,6009.31,5916.35
11/28/2022,5978.94,--,6040.82,6104.88,5953.21
11/25/2022,6092.73,--,6104.95,6129.71,6092.73
11/23/2022,6150.59,--,6051.39,6174.09,6050.23
11/22/2022,6072.85,--,5982.25,6075.63,5916.53
11/21/2022,5965.15,--,5988.69,6017.56,5943.31
11/18/2022,6059.44,--,6184.92,6185.18,6001.18
11/17/2022,6078.71,--,5968.03,6121.26,5958.80
11/16/2022,6121.20,--,6221.14,6235.34,6097.02
11/15/2022,6344.14,--,6404.52,6417.52,6262.09
11/14/2022,6165.01,--,6217.33,6265.33,6143.70
11/11/2022,6262.31,--,6048.92,6292.43,6015.69
11/10/2022,6045.31,--,5845.90,6051.38,5797.69
11/09/2022,5470.85,--,5553.26,5560.38,5462.78
11/08/2022,5629.29,--,5605.19,5720.51,5530.14
11/07/2022,5534.65,--,5473.87,5548.53,5401.62
11/04/2022,5425.00,--,5502.41,5502.41,5303.27
11/03/2022,5392.93,--,5430.36,5507.59,5366.06
11/02/2022,5548.82,--,5831.87,5861.25,5548.01
11/01/2022,5796.60,--,5946.55,5957.30,5789.51
10/31/2022,5821.62,--,5857.74,5874.74,5787.48
10/28/2022,5903.86,--,5740.18,5911.43,5725.27
10/27/2022,5734.80,--,5852.24,5881.55,5728.08
10/26/2022,5810.77,--,5775.66,5972.19,5757.90
10/25/2022,5924.92,--,5812.71,5929.05,5812.71
10/24/2022,5762.62,--,5733.60,5781.66,5611.74
10/21/2022,5734.36,--,5563.08,5745.30,5521.11
10/20/2022,5598.38,--,5600.02,5750.07,5563.22
10/19/2022,5571.38,--,5560.77,5651.01,5526.99
10/18/2022,5610.14,--,5737.05,5751.34,5536.09
10/17/2022,5545.60,--,5539.28,5581.59,5516.73
10/14/2022,5350.93,--,5624.56,5633.30,5343.23
10/13/2022,5558.24,--,5240.49,5610.08,5198.43
10/12/2022,5456.50,--,5486.51,5518.97,5417.31
10/11/2022,5484.99,--,5574.29,5598.36,5431.04
10/10/2022,5636.48,--,5805.36,5808.98,5578.65
10/07/2022,5811.34,--,5958.78,5981.21,5783.86
10/06/2022,6120.18,--,6156.01,6229.73,6097.21
10/05/2022,6162.96,--,6026.56,6205.19,5972.90
10/04/2022,6130.42,--,6087.42,6149.37,6069.80
10/03/2022,5909.86,--,5792.90,5954.65,5761.52
09/30/2022,5723.83,--,5786.20,5916.52,5721.80
09/29/2022,5813.07,--,5846.80,5864.34,5744.56
09/28/2022,5946.43,--,5813.62,5971.46,5799.76
09/27/2022,5825.00,--,5887.69,5926.57,5747.77
09/26/2022,5776.55,--,5847.06,5937.34,5772.68
09/23/2022,5838.36,--,5870.00,5885.78,5755.15
09/22/2022,5917.40,--,6011.29,6042.10,5901.89
09/21/2022,6052.12,--,6168.28,6312.04,6051.22
09/20/2022,6142.52,--,6166.75,6205.30,6107.51
09/19/2022,6223.62,--,6119.81,6232.07,6119.67
09/16/2022,6181.01,--,6156.56,6191.12,6088.86
09/15/2022,6256.08,--,6313.22,6417.70,6220.46
09/14/2022,6395.80,--,6396.47,6431.31,6321.42
09/13/2022,6361.66,--,6477.21,6530.43,6348.03
09/12/2022,6758.84,--,6716.47,6772.83,6685.64
09/09/2022,6685.85,--,6585.79,6700.94,6585.32
09/08/2022,6462.82,--,6288.41,6477.41,6279.37
09/07/2022,6368.43,--,6259.03,6399.40,6214.88
09/06/2022,6238.69,--,6293.73,6319.09,6198.14
09/02/2022,6304.00,--,6444.98,6495.38,6271.99
09/01/2022,6366.79,--,6378.79,6394.44,6215.12
08/31/2022,6534.08,--,6647.75,6676.54,6498.28
08/30/2022,6579.53,--,6694.05,6710.44,6499.23
08/29/2022,6631.78,--,6667.83,6755.42,6626.56
08/26/2022,6739.06,--,7060.89,7068.31,6736.74
08/25/2022,7060.97,--,6940.41,7063.88,6921.25
08/24/2022,6896.54,--,6881.55,6943.51,6849.63
08/23/2022,6865.54,--,6880.46,6973.55,6853.13
08/22/2022,6858.11,--,6942.00,6979.18,6837.69
08/19/2022,7079.63,--,7178.16,7206.02,7047.58
08/18/2022,7289.57,--,7238.33,7322.54,7207.34
08/17/2022,7242.75,--,7300.61,7310.37,7175.55
08/16/2022,7413.67,--,7420.41,7462.00,7312.36
08/15/2022,7489.94,--,7405.46,7508.58,7395.54
08/12/2022,7442.35,--,7325.50,7443.27,7287.80
08/11/2022,7259.50,--,7400.60,7481.96,7244.59
08/10/2022,7328.40,--,7273.59,7339.53,7217.44
08/09/2022,7049.68,--,7133.21,7161.55,6995.77
08/08/2022,7261.84,--,7255.20,7400.57,7225.34
08/05/2022,7286.71,--,7148.05,7317.61,7148.05
08/04/2022,7277.56,--,7213.69,7279.85,7151.15
08/03/2022,7264.66,--,7066.47,7278.20,7064.78
08/02/2022,7070.60,--,6968.82,7156.81,6968.82
08/01/2022,7061.76,--,6956.95,7139.18,6923.84
07/29/2022,7032.79,--,6899.35,7048.23,6877.07
07/28/2022,6953.46,--,6832.38,6960.68,6738.56
07/27/2022,6857.91,--,6701.29,6899.09,6652.05
07/26/2022,6549.77,--,6712.30,6720.01,6526.07
07/25/2022,6746.17,--,6782.87,6792.36,6686.39
07/22/2022,6818.36,--,6959.53,7040.42,6776.01
07/21/2022,6988.77,--,6879.50,6989.11,6819.52
07/20/2022,6877.57,--,6698.10,6906.45,6671.38
07/19/2022,6668.00,--,6534.71,6673.88,6483.56
07/18/2022,6425.85,--,6561.75,6591.58,6398.41
07/15/2022,6472.72,--,6390.34,6474.75,6322.24
07/14/2022,6316.86,--,6284.42,6351.86,6151.68
07/13/2022,6324.95,--,6183.38,6387.27,6162.89
07/12/2022,6329.99,--,6507.27,6551.13,6290.75
07/11/2022,6450.57,--,6529.94,6550.31,6406.77
07/08/2022,6628.80,--,6510.31,6679.02,6491.91
07/07/2022,6627.60,--,6492.80,6645.70,6492.80
07/06/2022,6428.39,--,6429.93,6483.98,6355.08
07/05/2022,6407.35,--,6147.09,6408.27,6114.24
07/01/2022,6252.36,--,6219.61,6267.99,6137.44
06/30/2022,6248.30,--,6278.61,6354.88,6134.89
06/29/2022,6358.35,--,6363.17,6404.33,6290.29
06/28/2022,6398.59,--,6634.91,6699.94,6392.68
06/27/2022,6627.80,--,6737.02,6755.85,6599.40
06/24/2022,6705.29,--,6508.83,6708.20,6497.83
06/23/2022,6408.38,--,6343.13,6429.35,6258.50
06/22/2022,6272.64,--,6207.86,6389.14,6206.75
06/21/2022,6298.53,--,6267.59,6386.61,6261.33
06/17/2022,6144.50,--,6095.00,6195.90,6016.19
06/16/2022,6054.97,--,6204.60,6225.66,6002.79
06/15/2022,6407.79,--,6336.20,6509.73,6256.54
06/14/2022,6243.29,--,6285.75,6312.83,6180.12
06/13/2022,6209.25,--,6361.58,6426.16,6191.83
06/10/2022,6606.77,--,6744.90,6771.39,6585.04
06/09/2022,6913.93,--,7061.25,7158.64,6912.65
