Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Devon
2000,2.8,2.6,1.4,2.9,2.8,2.5,2.5,1.9,2.2,2.1,1.2,1.6
2001,2.6,2.5,4,4.2,4.3,7,5.2,5.2,7.2,6.9,6.9,8.9
2002,9.2,10.7,9.8,11.1,9.7,9.5,7.3,8.3,8.4,8.2,8.5,7.6
2003,8.6,8.9,8,10.3,7.5,7.8,8.3,9.5,11.6,9.1,8.5,8.3
2004,8.5,8.7,7.6,5.7,5.1,4.3,4.6,5.3,5,5.4,5.7,5.4
2005,5.2,5.1,5.2,4.5,4.6,5.3,5.4,4.9,3.9,4.8,3.2,2.3
2006,2.8,3.9,3.5,2.4,2,3.3,2.4,2.5,2.4,2.7,4.1,2.2
2007,3.4,3,3.7,3.7,3.5,3.2,2.9,3,2.7,3.6,3.3,4.5
2008,3.5,3.6,4.3,2.9,3.7,3.6,3.8,4.8,5.7,5.3,7,5.7
2009,7.9,10.3,10.5,11.3,15.4,14.2,12.6,10.2,10.3,10.3,8,8.8
2010,10.6,10.5,12,10.4,7.2,10.8,9.4,8.2,8.7,7.1,10.1,9
2011,7.5,8.6,8.8,8.3,7.6,9.1,8.3,9.3,6.5,7.9,7.4,8.1
2012,8.3,4.4,5.3,4.4,5.8,6.3,8.3,8.1,6,7,4,6.3
2013,6.1,6.2,6.1,4.3,4.7,6.8,6.6,6,6.9,6.5,6.4,5.2
2014,5,5.9,5.4,7.1,7.2,5.5,6.8,5.5,4.6,3.2,3.2,3.5
2015,5.5,4.7,4.3,4.5,4,5.8,4.3,4.4,5.4,5.2,3.5,3.5
2016,5,4.1,3.7,2.8,4.4,4.3,4.3,4.8,4.2,4,4,2.2
2017,3.6,2.9,2.5,2.7,2.9,3.7,4.8,2.5,4.9,3.9,2.8,2.2
2018,3,2.7,4.1,4.8,4.8,3.5,3.6,3.3,4.2,3.4,2.1,3.5
2019,2.7,2.1,1.2,0.8,0.4,1,0.8,1.3,4,2.7,2.7,1.9
2020,1.8,0.8,1.4,3.5,5.8,8.5,5.8,5.1,4.9,5.5,4,2.9
2021,2.4,1.2,2.1,4.6,4.9,3.4,3.4,1.2,1.8,1.1,0.3,0.1
2022,1.9,2,3.6,0.7,0.5,0.4,0.4,0,1,3.7,2.9,1.8
2023,1.4,1.3,1.3,0.9,1.5,1,2.8,2.6,0,0,0,0
